Treatment,Snail,Date,Food
L2,14,3/4/2023,NA
L2,15,3/4/2023,NA
L2,16,3/4/2023,NA
L2,17,3/4/2023,NA
L2,18,3/4/2023,NA
L2,19,3/4/2023,yes
L2,20,3/4/2023,NA
L3,21,3/4/2023,NA
L3,22,3/4/2023,NA
L3,23,3/4/2023,yes
L3,24,3/4/2023,yes
L3,25,3/4/2023,NA
L3,26,3/4/2023,yes
L3,27,3/4/2023,NA
L3,28,3/4/2023,NA
L3,29,3/4/2023,NA
L3,30,3/4/2023,NA
L4,31,3/4/2023,NA
L4,32,3/4/2023,NA
L4,33,3/4/2023,no
L4,34,3/4/2023,NA
L4,35,3/4/2023,NA
L4,36,3/4/2023,NA
L4,37,3/4/2023,NA
L4,38,3/4/2023,NA
L4,39,3/4/2023,yes
L4,40,3/4/2023,NA
